candidate,minimum_season,games,mae,rmse,bets,wins,losses,pushes,win_rate_decided,flat_roi,profit_units,roi_95_low,roi_95_high,test_season
market_only,,119,12.831932773109244,16.242128022185874,0,0,0,0,,,0.0,,,2022
market_consensus_shop,,119,12.831932773109244,16.242128022185874,0,0,0,0,,,0.0,,,2022
pace_efficiency,,119,12.85618131197814,16.439054128373513,2,1,1,0,0.5,-0.04545454545454547,-0.09090909090909094,,,2022
market_residual_ridge,,119,13.915708980689606,17.686597986184708,9,4,5,0,0.4444444444444444,-0.1515151515151515,-1.3636363636363633,,,2022
market_residual_hgb,,119,14.547834317925844,18.02333595533861,6,3,3,0,0.5,-0.04545454545454549,-0.27272727272727293,,,2022
market_residual_ensemble,,119,13.969822978763094,17.644791918312297,8,4,4,0,0.5,-0.04545454545454547,-0.36363636363636376,,,2022
market_only,,879,12.518202502844142,15.682619017534883,0,0,0,0,,,0.0,,,2023
market_consensus_shop,,879,12.518202502844142,15.682619017534883,0,0,0,0,,,0.0,,,2023
pace_efficiency,,879,12.651893536217173,15.83045986892297,95,38,57,0,0.4,-0.23636363636363636,-22.454545454545453,-0.41454545454545455,-0.09976083111188612,2023
market_residual_ridge,,879,15.871385344523073,19.858150507366336,728,354,374,0,0.48626373626373626,-0.07167832167832167,-52.18181818181817,-0.15213573514200046,0.010839241034195153,2023
market_residual_hgb,,879,13.623997710777864,17.076011397262018,519,257,262,0,0.4951830443159923,-0.05465055176037835,-28.363636363636363,-0.14708282606596043,0.048952153110047844,2023
market_residual_ensemble,,879,14.614527581580763,18.379544775016335,704,339,365,0,0.4815340909090909,-0.08070764462809918,-56.81818181818182,-0.15713387019520594,-0.00040154022136086517,2023
market_only,,956,12.398535564853557,15.947645777911566,0,0,0,0,,,0.0,,,2024
market_consensus_shop,,956,12.398535564853557,15.947645777911566,0,0,0,0,,,0.0,,,2024
pace_efficiency,,956,12.344625559665078,15.851922892510872,97,61,36,0,0.6288659793814433,0.2005623242736645,19.454545454545457,0.04333465922713104,0.35412736488317886,2024
market_residual_ridge,,956,12.531903404340612,15.861534159131052,391,219,172,0,0.5601023017902813,0.06928621250871891,27.090909090909093,-0.03390141904173164,0.16691532544572749,2024
market_residual_hgb,,956,12.73429682178351,16.059790963582962,528,283,245,0,0.5359848484848485,0.02324380165289257,12.272727272727277,-0.058852853965900655,0.11326404000420953,2024
market_residual_ensemble,,956,12.525274452125515,15.820966783380936,451,245,206,0,0.5432372505543237,0.03708929651279986,16.727272727272737,-0.0705184765871791,0.13626933383259812,2024
market_only,,946,12.47568710359408,15.470920003365299,0,0,0,0,,,0.0,,,2025
market_consensus_shop,,946,12.47568710359408,15.470920003365299,0,0,0,0,,,0.0,,,2025
pace_efficiency,,946,12.532351369854984,15.509132869691088,55,27,28,0,0.4909090909090909,-0.0628099173553719,-3.454545454545455,-0.28419202619414485,0.11363636363636365,2025
market_residual_ridge,,946,12.949776289082767,15.98879777730137,405,187,218,0,0.4617283950617284,-0.11851851851851852,-48.0,-0.23442942613454848,-0.0076601413553237276,2025
market_residual_hgb,,946,12.964911291014982,15.98223270850057,419,214,205,0,0.5107398568019093,-0.024951182469082223,-10.454545454545451,-0.12261493477944277,0.06987870726153143,2025
market_residual_ensemble,,946,12.909324600420437,15.916429133099353,379,183,196,0,0.48284960422163586,-0.0781962101223315,-29.636363636363637,-0.2036760051894969,0.03667103470570581,2025
